"_id","activity","bpu","experimentId","population","response","userId","username"
"ObjectId(""5a36247690789136ad0750e6"")","-1","eug6","ObjectId(""5a36247690789136ad0750e6"")","178","-1",,"scripterPopulation"
"ObjectId(""5a3626f190789136ad0750e9"")","166.365131579","eug16","ObjectId(""5a3626f190789136ad0750e9"")","-1","-1",,"scripterActivity"
"ObjectId(""5a3627d890789136ad0750ea"")","192.764945652","eug10","ObjectId(""5a3627d890789136ad0750ea"")","-1","-1",,"scripterActivity"
"ObjectId(""5a36298a90789136ad0750ed"")","-1","eug8","ObjectId(""5a36298a90789136ad0750ed"")","75","-1",,"scripterPopulation"
"ObjectId(""5a362b7e90789136ad0750f0"")","-1","eug6","ObjectId(""5a362b7e90789136ad0750f0"")","-1","0",,"scripterResponse"
"ObjectId(""5a362dfa90789136ad0750f3"")","-1","eug16","ObjectId(""5a362dfa90789136ad0750f3"")","24","-1",,"scripterPopulation"
"ObjectId(""5a362ee090789136ad0750f4"")","-1","eug10","ObjectId(""5a362ee090789136ad0750f4"")","45","-1",,"scripterPopulation"
"ObjectId(""5a36309390789136ad0750f7"")","-1","eug8","ObjectId(""5a36309390789136ad0750f7"")","-1","0",,"scripterResponse"
"ObjectId(""5a36328790789136ad0750fa"")","200.508598993","eug6","ObjectId(""5a36328790789136ad0750fa"")","-1","-1",,"scripterActivity"
"ObjectId(""5a36350290789136ad0750fd"")","-1","eug16","ObjectId(""5a36350290789136ad0750fd"")","-1","1.07797569354",,"scripterResponse"
"ObjectId(""5a3635e990789136ad0750fe"")","-1","eug10","ObjectId(""5a3635e990789136ad0750fe"")","-1","0.0546953553073",,"scripterResponse"
"ObjectId(""5a36379b90789136ad075101"")","195.147447183","eug8","ObjectId(""5a36379b90789136ad075101"")","-1","-1",,"scripterActivity"
"ObjectId(""5a36399090789136ad075104"")","-1","eug6","ObjectId(""5a36399090789136ad075104"")","131","-1",,"scripterPopulation"
"ObjectId(""5a363c0b90789136ad075107"")","239.346590909","eug16","ObjectId(""5a363c0b90789136ad075107"")","-1","-1",,"scripterActivity"
"ObjectId(""5a363cf290789136ad075108"")","190.304815574","eug10","ObjectId(""5a363cf290789136ad075108"")","-1","-1",,"scripterActivity"
"ObjectId(""5a363ea490789136ad07510b"")","-1","eug8","ObjectId(""5a363ea490789136ad07510b"")","75","-1",,"scripterPopulation"
"ObjectId(""5a36409890789136ad07510e"")","-1","eug6","ObjectId(""5a36409890789136ad07510e"")","-1","0",,"scripterResponse"
"ObjectId(""5a36431490789136ad075111"")","-1","eug16","ObjectId(""5a36431490789136ad075111"")","15","-1",,"scripterPopulation"
"ObjectId(""5a3643fa90789136ad075112"")","-1","eug10","ObjectId(""5a3643fa90789136ad075112"")","61","-1",,"scripterPopulation"
"ObjectId(""5a3645ac90789136ad075115"")","-1","eug8","ObjectId(""5a3645ac90789136ad075115"")","-1","0",,"scripterResponse"
"ObjectId(""5a3647a190789136ad075118"")","218.990796233","eug6","ObjectId(""5a3647a190789136ad075118"")","-1","-1",,"scripterActivity"
"ObjectId(""5a364a1c90789136ad07511b"")","-1","eug16","ObjectId(""5a364a1c90789136ad07511b"")","-1","0.987260476502",,"scripterResponse"
"ObjectId(""5a364b0390789136ad07511c"")","-1","eug10","ObjectId(""5a364b0390789136ad07511c"")","-1","0",,"scripterResponse"
"ObjectId(""5a364cb590789136ad07511f"")","183.390410959","eug8","ObjectId(""5a364cb590789136ad07511f"")","-1","-1",,"scripterActivity"
"ObjectId(""5a364eaa90789136ad075122"")","-1","eug6","ObjectId(""5a364eaa90789136ad075122"")","212","-1",,"scripterPopulation"
"ObjectId(""5a36512590789136ad075125"")","194.947916667","eug16","ObjectId(""5a36512590789136ad075125"")","-1","-1",,"scripterActivity"
"ObjectId(""5a36520b90789136ad075126"")","169.898897059","eug10","ObjectId(""5a36520b90789136ad075126"")","-1","-1",,"scripterActivity"
"ObjectId(""5a3653be90789136ad075129"")","-1","eug8","ObjectId(""5a3653be90789136ad075129"")","90","-1",,"scripterPopulation"
"ObjectId(""5a3655b290789136ad07512c"")","-1","eug6","ObjectId(""5a3655b290789136ad07512c"")","-1","0",,"scripterResponse"
"ObjectId(""5a36582d90789136ad07512f"")","-1","eug16","ObjectId(""5a36582d90789136ad07512f"")","15","-1",,"scripterPopulation"
"ObjectId(""5a36591490789136ad075130"")","-1","eug10","ObjectId(""5a36591490789136ad075130"")","54","-1",,"scripterPopulation"
"ObjectId(""5a365ac690789136ad075133"")","-1","eug8","ObjectId(""5a365ac690789136ad075133"")","-1","0",,"scripterResponse"
"ObjectId(""5a365cbb90789136ad075136"")","226.632849526","eug6","ObjectId(""5a365cbb90789136ad075136"")","-1","-1",,"scripterActivity"
"ObjectId(""5a365f3690789136ad075139"")","-1","eug16","ObjectId(""5a365f3690789136ad075139"")","-1","1.27933426304",,"scripterResponse"
"ObjectId(""5a36601c90789136ad07513a"")","-1","eug10","ObjectId(""5a36601c90789136ad07513a"")","-1","0.238128572422",,"scripterResponse"
"ObjectId(""5a3661cf90789136ad07513d"")","184.085648148","eug8","ObjectId(""5a3661cf90789136ad07513d"")","-1","-1",,"scripterActivity"
"ObjectId(""5a3663c390789136ad075140"")","-1","eug6","ObjectId(""5a3663c390789136ad075140"")","191","-1",,"scripterPopulation"
"ObjectId(""5a36663f90789136ad075143"")","173.802083333","eug16","ObjectId(""5a36663f90789136ad075143"")","-1","-1",,"scripterActivity"
"ObjectId(""5a36672590789136ad075144"")","166.543311404","eug10","ObjectId(""5a36672590789136ad075144"")","-1","-1",,"scripterActivity"
"ObjectId(""5a3668d890789136ad075147"")","-1","eug8","ObjectId(""5a3668d890789136ad075147"")","76","-1",,"scripterPopulation"
